FechaEmision;Año;Mes;Tipo de Comprobante;Nro. Doc. Receptor;DenominacionReceptor;IVA 10,5%;Imp. Neto Gravado IVA 10,5%;IVA 21%;Imp. Neto Gravado IVA 21%;IVA 27%;Imp. Neto Gravado IVA 27%;Imp. Neto Gravado Total;Imp. Neto No Gravado;Imp. Op. Exentas;Otros Tributos;Total IVA;Imp. Total;TotalVenta;Anio;Anio_ajuste;Mes_ajuste;IPC_fila;Coef_Deflactor;TotalVenta_Real;TotalVenta_Nominal
2023-01-02;2023;1;1;30657033770;Sin cliente;0;0;1704;8115;0;0;8115;0;0;0;1704;9820;9820;2023;2023;1;1.06;7.779718450816378;76397;9820
2023-01-02;2023;1;1;30657033770;Sin cliente;0;0;6115;29121;0;0;29121;0;0;0;6115;36402;36402;2023;2023;1;1.06;7.779718450816378;283197;36402
2023-01-02;2023;1;1;30657033770;Sin cliente;0;0;1197;5700;0;0;5700;0;0;0;1197;7801;7801;2023;2023;1;1.06;7.779718450816378;60690;7801
2023-01-02;2023;1;1;30657033770;Sin cliente;0;0;8642;41157;0;0;41157;0;0;0;8642;49800;49800;2023;2023;1;1.06;7.779718450816378;387430;49800
2023-01-02;2023;1;1;30657033770;Sin cliente;50435;480335;0;0;0;0;480335;0;0;0;50435;549983;549983;2023;2023;1;1.06;7.779718450816378;4278713;549983
2023-01-02;2023;1;1;30657033770;Sin cliente;0;0;381;1818;0;0;1818;0;0;0;381;2200;2200;2023;2023;1;1.06;7.779718450816378;17115;2200
2023-01-03;2023;1;1;30657033770;Sin cliente;0;0;2734;13019;0;0;13019;0;0;0;2734;16340;16340;2023;2023;1;1.06;7.779718450816378;127121;16340
2023-01-03;2023;1;1;30657033770;Sin cliente;0;0;22050;105000;0;0;105000;0;0;0;22050;127050;127050;2023;2023;1;1.06;7.779718450816378;988413;127050
2023-01-03;2023;1;1;30657033770;Sin cliente;0;0;1259;5998;0;0;5998;0;0;0;1259;7258;7258;2023;2023;1;1.06;7.779718450816378;56465;7258
2023-01-03;2023;1;1;30657033770;Sin cliente;1677;15973;0;0;0;0;15973;0;0;0;1677;17650;17650;2023;2023;1;1.06;7.779718450816378;137312;17650
2023-01-03;2023;1;1;30657033770;Sin cliente;0;0;1874;8925;0;0;8925;0;0;0;1874;10800;10800;2023;2023;1;1.06;7.779718450816378;84021;10800
2023-01-03;2023;1;1;30657033770;Sin cliente;723;6887;1808;8614;0;0;15501;0;0;0;2532;18033;18033;2023;2023;1;1.06;7.779718450816378;140292;18033
2023-01-03;2023;1;1;30657033770;Sin cliente;0;0;280;1334;0;0;1334;0;0;0;280;1655;1655;2023;2023;1;1.06;7.779718450816378;12875;1655
2023-01-03;2023;1;1;30657033770;Sin cliente;0;0;0;0;433;1605;1605;0;0;0;433;2102;2102;2023;2023;1;1.06;7.779718450816378;16353;2102
2023-01-03;2023;1;1;30657033770;Sin cliente;0;0;1995;9504;0;0;9504;0;0;0;1995;11500;11500;2023;2023;1;1.06;7.779718450816378;89467;11500
2023-01-03;2023;1;1;30657033770;Sin cliente;0;0;7407;35275;0;0;35275;0;0;0;7407;43741;43741;2023;2023;1;1.06;7.779718450816378;340293;43741
2023-01-03;2023;1;11;30657033770;Sin cliente;0;0;0;0;0;0;0;0;0;0;0;4800;4800;2023;2023;1;1.06;7.779718450816378;37343;4800
2023-01-05;2023;1;1;30657033770;Sin cliente;0;0;1039;4949;0;0;4949;0;0;0;1039;7565;7565;2023;2023;1;1.06;7.779718450816378;58854;7565
2023-01-05;2023;1;1;30657033770;Sin cliente;3689;35141;0;0;0;0;35141;0;0;0;3689;38831;38831;2023;2023;1;1.06;7.779718450816378;302094;38831
2023-01-05;2023;1;1;30657033770;Sin cliente;0;0;4238;20185;0;0;20185;0;0;0;4238;25390;25390;2023;2023;1;1.06;7.779718450816378;197527;25390
